Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
2.8000        -318.0884    -320.6043       2.5160   374.3
2.8100        -318.1216    -320.3647       2.2431   333.7
2.8200        -318.1427    -320.5346       2.3920   355.9
2.8300        -318.1834    -320.5305       2.3471   349.2
2.8400        -318.1914    -320.2038       2.0123   299.4
2.8500        -318.1966    -320.2859       2.0893   310.8
2.8600        -318.2042    -320.2214       2.0172   300.1
2.8700        -318.2113    -320.2914       2.0802   309.5
2.8800        -318.2215    -320.4161       2.1946   326.5
2.8900        -318.2282    -320.3679       2.1397   318.3
2.9000        -318.2405    -320.2083       1.9677   292.8
2.9100        -318.2252    -320.1942       1.9690   292.9
2.9200        -318.2127    -320.2422       2.0295   301.9
2.9300        -318.2258    -320.2215       1.9957   296.9
2.9400        -318.2070    -320.0117       1.8047   268.5
2.9500        -318.1808    -320.0372       1.8563   276.2
2.9600        -318.1644    -320.1244       1.9599   291.6
2.9700        -318.1814    -320.4521       2.2707   337.8
2.9800        -318.1970    -320.4905       2.2935   341.2
2.9900        -318.2253    -320.4183       2.1930   326.3
3.0000        -318.2319    -320.2670       2.0351   302.8
3.0100        -318.2348    -320.3752       2.1404   318.4
3.0200        -318.2235    -319.9518       1.7282   257.1
3.0300        -318.2008    -319.9781       1.7773   264.4
3.0400        -318.1886    -320.1422       1.9536   290.6
3.0500        -318.1819    -320.1502       1.9684   292.8
3.0600        -318.1702    -320.0417       1.8715   278.4
3.0700        -318.1785    -320.2705       2.0921   311.2
3.0800        -318.1857    -320.1617       1.9760   294.0
3.0900        -318.1942    -320.3027       2.1085   313.7
3.1000        -318.2065    -320.2702       2.0637   307.0
3.1100        -318.2086    -320.1623       1.9536   290.7
3.1200        -318.2136    -320.2673       2.0536   305.5
3.1300        -318.2267    -320.4990       2.2723   338.1
3.1400        -318.2553    -320.5137       2.2584   336.0
3.1500        -318.2648    -320.2232       1.9584   291.4
3.1600        -318.2567    -320.2182       1.9616   291.8
3.1700        -318.2677    -320.4889       2.2212   330.5
3.1800        -318.2793    -320.3668       2.0876   310.6
3.1900        -318.2648    -319.9900       1.7251   256.7
3.2000        -318.2535    -320.2757       2.0222   300.9
3.2100        -318.2294    -319.7601       1.5307   227.7
3.2200        -318.2005    -320.2021       2.0015   297.8
3.2300        -318.2072    -320.3514       2.1442   319.0
3.2400        -318.2279    -320.4668       2.2388   333.1
3.2500        -318.2284    -320.1301       1.9017   282.9
3.2600        -318.2284    -320.2697       2.0413   303.7
3.2700        -318.2242    -320.1822       1.9580   291.3
3.2800        -318.2295    -320.3380       2.1085   313.7
3.2900        -318.2324    -320.1325       1.9001   282.7
3.3000        -318.2204    -320.1013       1.8809   279.8
3.3100        -318.2278    -320.3687       2.1410   318.5
3.3200        -318.2311    -320.2836       2.0525   305.4
3.3300        -318.2030    -319.8811       1.6781   249.7
3.3400        -318.1738    -319.9017       1.7279   257.1
3.3500        -318.1491    -319.9711       1.8220   271.1
3.3600        -318.1377    -320.1614       2.0237   301.1
3.3700        -318.1595    -320.4836       2.3241   345.8
3.3800        -318.1897    -320.3401       2.1503   319.9
3.3900        -318.2031    -320.3644       2.1613   321.6
3.4000        -318.2172    -320.3601       2.1428   318.8
3.4100        -318.2112    -320.0130       1.8017   268.1
3.4200        -318.1946    -320.0720       1.8774   279.3
3.4300        -318.1814    -320.0469       1.8655   277.5
3.4400        -318.1737    -320.1644       1.9907   296.2
3.4500        -318.1643    -319.9604       1.7961   267.2
3.4600        -318.1460    -320.0432       1.8971   282.2
3.4700        -318.1317    -320.0703       1.9386   288.4
3.4800        -318.1279    -320.0492       1.9213   285.8
3.4900        -318.0914    -319.8463       1.7548   261.1
3.5000        -318.0916    -320.2916       2.2000   327.3
3.5100        -318.1094    -320.2718       2.1625   321.7
3.5200        -318.1231    -320.3716       2.2485   334.5
3.5300        -318.1287    -320.1013       1.9726   293.5
3.5400        -318.1405    -320.4251       2.2846   339.9
3.5500        -318.1542    -320.2638       2.1096   313.9
3.5600        -318.1483    -319.9027       1.7543   261.0
3.5700        -318.1291    -319.9959       1.8668   277.7
3.5800        -318.1178    -320.0978       1.9800   294.6
3.5900        -318.1167    -320.0890       1.9722   293.4
3.6000        -318.1031    -320.0566       1.9535   290.6
3.6100        -318.1140    -320.2488       2.1348   317.6
3.6200        -318.1147    -320.1910       2.0763   308.9
3.6300        -318.1319    -320.3071       2.1752   323.6
3.6400        -318.1536    -320.4980       2.3443   348.8
3.6500        -318.1632    -320.2130       2.0498   305.0
3.6600        -318.1865    -320.4675       2.2810   339.4
3.6700        -318.2078    -320.3859       2.1781   324.1
3.6800        -318.2116    -320.0578       1.8461   274.7
3.6900        -318.1756    -319.9381       1.7626   262.2
3.7000        -318.1830    -320.2405       2.0575   306.1
3.7100        -318.1819    -320.2228       2.0409   303.6
3.7200        -318.1815    -320.0383       1.8568   276.3
3.7300        -318.1667    -320.2754       2.1086   313.7
3.7400        -318.1694    -320.0125       1.8431   274.2
3.7500        -318.1893    -320.8490       2.6597   395.7
3.7600        -318.2262    -320.7469       2.5206   375.0
3.7700        -318.2824    -320.6641       2.3816   354.3
3.7800        -318.2973    -320.3295       2.0323   302.4
3.7900        -318.3010    -320.4750       2.1740   323.4
3.8000        -318.3028    -320.6152       2.3125   344.0
3.8100        -318.3480    -320.5512       2.2032   327.8
3.8200        -318.3676    -320.7094       2.3418   348.4
3.8300        -318.3762    -320.4845       2.1083   313.7
3.8400        -318.3795    -320.5638       2.1843   325.0
3.8500        -318.3999    -320.5140       2.1141   314.5
3.8600        -318.4221    -320.7785       2.3565   350.6
3.8700        -318.4501    -320.5531       2.1030   312.9
3.8800        -318.4689    -320.3427       1.8738   278.8
3.8900        -318.4662    -320.5569       2.0907   311.0
3.9000        -318.4618    -320.1266       1.6649   247.7
3.9100        -318.4575    -320.6666       2.2091   328.7
3.9200        -318.4483    -320.2692       1.8209   270.9
3.9300        -318.4721    -320.6514       2.1793   324.2
