pair,distance,rdf
Ca-Ca,4.0600,0.000000
Ca-Ca,4.1000,0.000000
Ca-Ca,4.1400,0.000000
Ca-Ca,4.1800,0.000000
Ca-Ca,4.2200,0.000000
Ca-Ca,4.2600,0.000000
Ca-Ca,4.3000,0.000000
Ca-Ca,4.3400,0.000000
Ca-Ca,4.3800,0.000000
Ca-Ca,4.4200,0.000000
Ca-Ca,4.4600,0.000000
Ca-Ca,4.5000,0.000000
Ca-Ca,4.5400,0.000000
Ca-Ca,4.5800,0.000000
Ca-Ca,4.6200,0.000000
Ca-Ca,4.6600,0.000000
Ca-Ca,4.7000,0.000000
Ca-Ca,4.7400,0.000000
Ca-Ca,4.7800,0.000000
Ca-Ca,4.8200,0.000000
Ca-Ca,4.8600,0.000000
Ca-Ca,4.9000,0.000000
Ca-Ca,4.9400,0.000000
Ca-Ca,4.9800,0.000000
Ca-Ca,5.0200,0.000000
Ca-Ca,5.0600,0.000000
Ca-Ca,5.1000,0.000000
Ca-Ca,5.1400,0.000000
Ca-Ca,5.1800,0.000000
Ca-Ca,5.2200,0.000000
Ca-Ca,5.2600,0.000000
Ca-Ca,5.3000,0.000000
Ca-Ca,5.3400,0.000000
Ca-Ca,5.3800,0.000000
Ca-Ca,5.4200,0.000000
Ca-Ca,5.4600,0.000000
Ca-Ca,5.5000,0.000000
Ca-Ca,5.5400,0.000000
Ca-Ca,5.5800,0.000000
Ca-Ca,5.6200,0.000000
Ca-Ca,5.6600,0.000000
Ca-Ca,5.7000,1.698650
Ca-Ca,5.7400,0.000000
Ca-Ca,5.7800,0.000000
Ca-Ca,5.8200,0.000000
Ca-Ca,5.8600,0.000000
Ca-Ca,5.9000,0.000000
Ca-Ca,5.9400,0.000000
Ca-Ca,5.9800,1.543303
Ca-Ca,6.0200,0.000000
Ca-Ca,6.0600,0.000000
Ca-Ca,6.1000,0.000000
Ca-Ca,6.1400,0.000000
Ca-Ca,6.1800,0.000000
Ca-Ca,6.2200,0.000000
Ca-Ca,6.2600,0.000000
Ca-Ca,6.3000,0.000000
Ca-Ca,6.3400,0.000000
Ca-Ca,6.3800,0.000000
Ca-Ca,6.4200,0.000000
Ca-Ca,6.4600,0.000000
Ca-Ca,6.5000,0.000000
Ca-Ca,6.5400,0.000000
Ca-Ca,6.5800,0.000000
Ca-Ca,6.6200,0.000000
Ca-Ca,6.6600,0.000000
Ca-Ca,6.7000,0.000000
Ca-Ca,6.7400,0.000000
Ca-Ca,6.7800,0.000000
Ca-Ca,6.8200,0.000000
Ca-Ca,6.8600,0.000000
Ca-Ca,6.9000,0.000000
Ca-Ca,6.9400,0.000000
Ca-Ca,6.9800,0.000000
Ca-Ca,7.0200,0.000000
Ca-Ca,7.0600,0.000000
Ca-Ca,7.1000,0.000000
Ca-Ca,7.1400,0.000000
Ca-Ca,7.1800,0.000000
Ca-Ca,7.2200,0.000000
Ca-Ca,7.2600,0.000000
Ca-Ca,7.3000,0.000000
Ca-Ca,7.3400,0.000000
Ca-Ca,7.3800,0.000000
